sample_id,recording_id,person_id,session_id,camera_angle,label,timestamp_ms,pose_confidence,quality_status,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,shoulder_slope,head_center_x,head_center_y,head_center_z,shoulder_midpoint_x,shoulder_midpoint_y,shoulder_midpoint_z,head_to_shoulder_x_offset,head_to_shoulder_y_offset,head_to_shoulder_z_offset,nose_to_shoulder_y_offset,nose_to_shoulder_z_offset,face_tilt_proxy,head_drop_proxy,side_lean_proxy,upper_body_confidence
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00001,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902775964,0.9990576276412377,valid,0.003671258820483325,-1.2285776178028904,-3.0711078319610152,0.9998267889022827,0.06304415858506296,-1.4166021655640513,-2.8974144681985465,0.999701976776123,0.10104155902005882,-1.415195993854462,-2.897625801799022,0.9997115135192871,0.137929872107419,-1.4148626382867844,-2.8971216486016496,0.9996312260627747,-0.06791013129820217,-1.4251834525347633,-2.902464281269466,0.9997493624687195,-0.11895067387382073,-1.4246853031328592,-2.902926366493076,0.9997754693031311,-0.16540390265698957,-1.419606506221749,-2.904071145369632,0.9997256398200989,0.18890797521016983,-1.3101771894724792,-1.7901242842766139,0.9994632601737976,-0.21599544414256996,-1.3113195668308482,-1.8357653858576424,0.9997345209121704,0.08232760432969038,-1.0128623231785054,-2.6447893296340883,0.9997919201850891,-0.08503709652167817,-1.0225662784962568,-2.6611158440024725,0.999799370765686,0.4983225596465629,0.040922201154113685,-1.1731998505701808,0.9952433705329895,-0.4983225596465629,-0.040922201154113685,-1.203771342715433,0.9955947399139404,-0.08184440230822737,-0.013543734466200066,-1.3107483781516636,-1.8129448350671282,0,0,-1.188485596642807,-0.013543734466200066,-1.3107483781516636,-0.6244592384243213,-1.2285776178028904,-1.8826222353182083,-0.009489309278397196,-1.2285776178028904,0.08184440230822737,0.9990576276412377
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00002,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902776168,0.9989413527341989,valid,0.002600109869307281,-1.2298620084928247,-3.1675502049798547,0.9998030066490173,0.06297386028887289,-1.4185327881881757,-3.0002721867395232,0.9996659755706787,0.10106150952953494,-1.4166826853799637,-3.0015401581306036,0.9996735453605652,0.1373484311513861,-1.416149846515933,-3.000701895500838,0.9995896816253662,-0.06837182869399264,-1.4284478633558695,-2.995399619931411,0.9997168183326721,-0.119532210089462,-1.428847657776493,-2.9954653984264126,0.9997429251670837,-0.16589406680184612,-1.425025894162397,-2.9964600089362565,0.9996898770332336,0.1881915717901846,-1.3106301499059045,-1.9013930112351536,0.9994258880615234,-0.21609082630006646,-1.3180426260385893,-1.9016909977338654,0.9997024536132812,0.08126490953205015,-1.0130939363940354,-2.7407299129038294,0.999764084815979,-0.08647521089929557,-1.024479317933979,-2.7445726661381897,0.999770998954773,0.49805505539227946,0.04405861775173538,-1.2984035308293866,0.9945521354675293,-0.49805505539227946,-0.04405861775173538,-1.2596911511588127,0.9951401948928833,-0.08811723550347075,-0.013949627254940936,-1.314336387972247,-1.9015420044845095,0,0,-1.2790473409940997,-0.013949627254940936,-1.314336387972247,-0.6224946634904098,-1.2298620084928247,-1.888502863985755,-0.012164972396529361,-1.2298620084928247,0.08811723550347075,0.9989413527341989
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00003,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902776366,0.9990813457048856,valid,0.0017234761378642051,-1.2377283690180834,-3.132364884875764,0.9998242259025574,0.06240131170099487,-1.4253179904006006,-2.9620650048024117,0.9996980428695679,0.10088461741621005,-1.4238145166614151,-2.962208862064231,0.9997097253799438,0.1370776989879456,-1.4235777722538177,-2.9613017345488974,0.9996318817138672,-0.0694570143337047,-1.4354373566505365,-2.963901086452114,0.9997438192367554,-0.12052047224183725,-1.436363086398002,-2.9638455277854803,0.9997695088386536,-0.16673089715483927,-1.4328231642999083,-2.9646663409437224,0.9997166991233826,0.18891955696505983,-1.319294899071771,-1.8697893903843583,0.999473512172699,-0.21639480579396264,-1.3274835603178945,-1.8991197364780312,0.999723494052887,0.08055345249178991,-1.0186783219479216,-2.714647545850306,0.9997944235801697,-0.0876552886601866,-1.0301258048954807,-2.7262384726767483,0.9997978806495667,0.49879272881257236,0.03472482805871961,-1.2521719688110833,0.9954206347465515,-0.49879272881257236,-0.03472482805871961,-1.266563068971178,0.9957536458969116,-0.06944965611743922,-0.013737624414451408,-1.3233892296948326,-1.8844545634311949,0,0,-1.2593675188911306,-0.013737624414451408,-1.3233892296948326,-0.6250870445400643,-1.2377283690180834,-1.8729973659846335,-0.012548569736586801,-1.2377283690180834,0.06944965611743922,0.9990813457048856
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00004,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902776568,0.9990101594191331,valid,-0.001510842542281483,-1.2375629677687994,-3.1245763939618114,0.9998103976249695,0.059787733892187445,-1.4250973994814604,-2.9566695980805946,0.9996803402900696,0.09890635931599952,-1.4240551824037593,-2.9565673615482106,0.9996897578239441,0.134720577594012,-1.4242690436937908,-2.956257343325415,0.9996111989021301,-0.07447960334648625,-1.434664042382703,-2.95760792431309,0.9997303485870361,-0.12531886968109746,-1.4354288725580175,-2.9574808730883797,0.9997560977935791,-0.1709538333097731,-1.431330312542138,-2.9587401360082937,0.9997041821479797,0.18778795515259386,-1.3212055616880218,-1.8618420640224302,0.999447762966156,-0.21789785467429754,-1.3257730780310464,-1.8930458778975146,0.9997151494026184,0.07853250432848555,-1.0175391143294534,-2.7027256318284962,0.9997785687446594,-0.09030186475188513,-1.0283460782688014,-2.714033852552834,0.9997840523719788,0.49844424640343055,0.03941234866531335,-1.221210250957107,0.9949163198471069,-0.49844424640343055,-0.03941234866531335,-1.294799130922544,0.9955078959465027,-0.0788246973306267,-0.015054949760851838,-1.323489319859534,-1.8774439709599724,0,0,-1.2580046909398255,-0.015054949760851838,-1.323489319859534,-0.6194392800201469,-1.2375629677687994,-1.866571703021986,-0.011373690154258265,-1.2375629677687994,0.0788246973306267,0.9990101594191331
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00005,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902776777,0.9990982550841111,valid,-0.0016612802901224042,-1.2282546145796809,-3.0926105345165884,0.9998302459716797,0.0592954668301118,-1.4172268558607966,-2.9143286424859283,0.9997139573097229,0.09810335956441746,-1.4166378727094955,-2.9148695225104335,0.999723494052887,0.1342579020864283,-1.4170065526709505,-2.913469343834351,0.9996539354324341,-0.07432439438640238,-1.4243893242822945,-2.9198941618049945,0.9997545480728149,-0.125206047434455,-1.4237350138474933,-2.920160783449978,0.9997761845588684,-0.1713665383778781,-1.418472432166462,-2.9209151600096317,0.9997271299362183,0.18616810706567266,-1.3141636447334217,-1.7897837882219085,0.999508798122406,-0.21976185327767894,-1.3120289699098808,-1.8492171728176305,0.999734103679657,0.07822676573570334,-1.0090809973814459,-2.6679665901700633,0.9998040795326233,-0.09061404720545957,-1.0192591873699006,-2.6845280111291188,0.9998036026954651,0.49848780551287525,0.03885753150880753,-1.147487015954153,0.9955529570579529,-0.49848780551287525,-0.03885753150880753,-1.2497775057573843,0.9956942796707153,-0.07771506301761506,-0.01679687310600314,-1.3130963073216513,-1.8195004805197694,0,0,-1.1986322608557687,-0.01679687310600314,-1.3130963073216513,-0.6208682196640007,-1.2282546145796809,-1.8939782736608197,-0.007097141137997864,-1.2282546145796809,0.07771506301761506,0.9990982550841111
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00006,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902776972,0.9988347200246958,valid,-0.003229320287583182,-1.2319552975316752,-3.070570696789628,0.999774694442749,0.0577444362385636,-1.4214257801351315,-2.8942892126860533,0.9996381402015686,0.09656702118903047,-1.4205790485478516,-2.894672166669043,0.9996469020843506,0.13299247751969215,-1.4206649548917294,-2.8944358617308885,0.9995688199996948,-0.07534023853573643,-1.4279302901984694,-2.89881400230578,0.9996843934059143,-0.12637227302524454,-1.4265683705178855,-2.898795004588608,0.9997082948684692,-0.17274420082183783,-1.4206566225596364,-2.8996125730135627,0.9996515512466431,0.18497273140137177,-1.3163069532258784,-1.771425473020543,0.9993997812271118,-0.22172298203701452,-1.311277765882909,-1.816198926228435,0.9996644258499146,0.07711794158775576,-1.0136127842864089,-2.6403868890912565,0.9997337460517883,-0.09148754822188024,-1.0231996322992112,-2.654758828778367,0.999731719493866,0.4986122101164088,0.0372271933246401,-1.1338486696801797,0.9942232370376587,-0.4986122101164088,-0.0372271933246401,-1.2180920467188359,0.9944256544113159,-0.0744543866492802,-0.018375125317821372,-1.3137923595543937,-1.793812199624489,0,0,-1.1759703581995078,-0.018375125317821372,-1.3137923595543937,-0.6178418414249811,-1.2319552975316752,-1.89460033859012,-0.0059893219700339895,-1.2319552975316752,0.0744543866492802,0.9988347200246958
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00007,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902777167,0.9988840038959796,valid,-0.001690072993530757,-1.2357149287618663,-3.063137063617021,0.9997833371162415,0.059174897334299946,-1.424936618245606,-2.895749599916396,0.999650239944458,0.09778951168554177,-1.4237246176941225,-2.8974519696551013,0.9996588230133057,0.13454202366245865,-1.4234279118224256,-2.8957806127245647,0.9995827674865723,-0.07364203887379267,-1.4331541787325872,-2.887107697511197,0.9996944069862366,-0.12486035850597997,-1.4327195825794103,-2.8874488384010495,0.999718189239502,-0.1715068733340122,-1.4277599926215048,-2.888135455304476,0.9996615052223206,0.18622086682239358,-1.318033259243464,-1.8086609699008005,0.9994261264801025,-0.22153536823991163,-1.320995065791308,-1.8040105492952938,0.9996722936630249,0.07778433295836847,-1.0164175264597934,-2.649993603651919,0.9997532367706299,-0.09075493976820917,-1.0259633021611256,-2.649410529511248,0.999749481678009,0.4986123832958811,0.03722487372713737,-1.1943078277912482,0.994415819644928,-0.4986123832958811,-0.03722487372713737,-1.1852623420410406,0.9947258234024048,-0.07444974745427474,-0.017657250708759023,-1.319514162517386,-1.8063357595980472,0,0,-1.1897850849161444,-0.017657250708759023,-1.319514162517386,-0.6165506746819027,-1.2357149287618663,-1.8733519787008768,-0.008994964885287837,-1.2357149287618663,0.07444974745427474,0.9988840038959796
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00008,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902777366,0.9989899167647729,valid,-0.005362561177103443,-1.2277645406736324,-3.0953105499783944,0.99981689453125,0.05539598267560838,-1.4168488116820652,-2.922811130335218,0.9997026324272156,0.09457411302474909,-1.4160344619799705,-2.9236396597357563,0.99970942735672,0.1319553953332829,-1.4158112676705363,-2.922656199352807,0.9996426701545715,-0.07752267010744258,-1.4229223236982718,-2.926476937921204,0.9997407793998718,-0.12847806480095328,-1.4213774894721967,-2.926419382567047,0.9997608065605164,-0.17475390803976545,-1.4152660812707674,-2.9269377153786116,0.9997120499610901,0.18441944301642557,-1.3113370481385223,-1.8059014643533924,0.9994939565658569,-0.2239943539538897,-1.3070027033247085,-1.8557475799827732,0.9997186660766602,0.07553006693787155,-1.0086612624665718,-2.6676300982040333,0.9997819662094116,-0.09263822864895484,-1.0161035545768429,-2.6814716589425562,0.999779999256134,0.49907941624278557,0.030327154214670166,-1.1690736394565944,0.9950175881385803,-0.49907941624278557,-0.030327154214670166,-1.2711944891550813,0.9949914813041687,-0.06065430842934033,-0.019787455468732063,-1.3091698757316155,-1.8308245221680828,0,0,-1.2201340643058378,-0.019787455468732063,-1.3091698757316155,-0.610690457862245,-1.2277645406736324,-1.8751764856725566,-0.005343027492226149,-1.2277645406736324,0.06065430842934033,0.9989899167647729
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00009,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902777566,0.9986269657428448,valid,-0.0035299206461201723,-1.218836379382095,-2.9943531948658815,0.9997155666351318,0.056627982241221266,-1.4089284974776326,-2.8238295851563238,0.9995642304420471,0.09596914142555267,-1.4079617540995013,-2.823550691088846,0.9995741844177246,0.13283243408729536,-1.4078096529178692,-2.823850703336914,0.9994962811470032,-0.07612450444812531,-1.4147016381953388,-2.822442489421682,0.999601423740387,-0.12703096819086102,-1.4125969014309963,-2.8233944835943214,0.9996214509010315,-0.17314846547323912,-1.4059531385777662,-2.823429345352756,0.9995537996292114,0.18567883736369603,-1.3033341586319485,-1.7249460637705927,0.99933922290802,-0.2216526523715306,-1.2971602333956993,-1.746499848736663,0.9995620846748352,0.07712887506072087,-1.001268837920218,-2.5699984403196234,0.9996697306632996,-0.09072253058343582,-1.0090534853391449,-2.5801500838130402,0.9996426105499268,0.49873608727034496,0.035529076180880456,-1.0858647496679728,0.9936636686325073,-0.49873608727034496,-0.035529076180880456,-1.140482566044836,0.9931463003158569,-0.07105815236176091,-0.01798690750391728,-1.300247196013824,-1.7357229562536278,0,0,-1.1131736578564044,-0.01798690750391728,-1.300247196013824,-0.6225492983972234,-1.218836379382095,-1.881179537009477,-0.004635147331494949,-1.218836379382095,0.07105815236176091,0.9986269657428448
rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364_sample_00010,rec_1779902775963_5a460419-69f5-417f-b993-0c4be6e98364,P001,S001,front,good_posture,1779902777767,0.9986572357324454,valid,-0.004923275356965725,-1.2225132429817582,-3.105369194674796,0.9997302293777466,0.05580134052774045,-1.4125021333480638,-2.931630952463309,0.9995803833007812,0.0952140282778806,-1.4113285110535994,-2.932027726164535,0.9995836615562439,0.13135424913705096,-1.4108891782924808,-2.9311538912205246,0.9995051026344299,-0.07699400335161045,-1.418590868988008,-2.934902419924301,0.9996242523193359,-0.12760447114580253,-1.4168706834243796,-2.9348144700862453,0.9996424913406372,-0.17329482844462554,-1.4108659831884105,-2.934789484336798,0.9995836615562439,0.18381066410042388,-1.3061883108068812,-1.8205699763253576,0.9993285536766052,-0.22128354154929208,-1.3036384734328488,-1.8542007950816846,0.9995864629745483,0.07528930895263942,-1.0063536123574952,-2.679080827056243,0.9996723532676697,-0.09179247974854075,-1.01521039424998,-2.693241750413105,0.9996604919433594,0.49818935908861756,0.04251308611324819,-1.1969143432428226,0.9935157299041748,-0.49818935908861756,-0.04251308611324819,-1.2670257720516263,0.9935306906700134,-0.08502617222649637,-0.018736438724434104,-1.304913392119865,-1.837385385703521,0,0,-1.2319700576472243,-0.018736438724434104,-1.304913392119865,-0.6054153280562966,-1.2225132429817582,-1.8733991370275715,-0.005542172370780252,-1.2225132429817582,0.08502617222649637,0.9986572357324454
