sample_id,recording_id,person_id,session_id,camera_angle,label,timestamp_ms,pose_confidence,quality_status,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,shoulder_slope,head_center_x,head_center_y,head_center_z,shoulder_midpoint_x,shoulder_midpoint_y,shoulder_midpoint_z,head_to_shoulder_x_offset,head_to_shoulder_y_offset,head_to_shoulder_z_offset,nose_to_shoulder_y_offset,nose_to_shoulder_z_offset,face_tilt_proxy,head_drop_proxy,side_lean_proxy,upper_body_confidence
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00001,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882107204,0.9996030468207139,valid,-0.060162476185924935,-0.8903134968562846,-3.0280353064132335,0.9997748136520386,0.002590256885623259,-1.0927907749838826,-2.879556633024184,0.9996159672737122,0.048676179398772286,-1.0972708848478914,-2.880081117725749,0.99964839220047,0.0867420271481748,-1.1032506036616547,-2.878527710228213,0.9995473027229309,-0.1265375084366101,-1.082107262990525,-2.8785293466859403,0.9996384978294373,-0.1646670757587651,-1.0788920326710267,-2.8785704626863358,0.9996763467788696,-0.19492855432858647,-1.0734013078818696,-2.8785133912231,0.999622106552124,0.14777975252162698,-1.0482344290526173,-1.8607543053095266,0.9995172619819641,-0.22628134564522823,-1.0144904661607257,-1.8312060154729366,0.9997062683105469,0.035259373886574165,-0.7174724681681129,-2.6328947917052172,0.9998599290847778,-0.11997009674156933,-0.7081998895714178,-2.6305974096134572,0.9998511075973511,0.49963514211658167,-0.019097768512141195,-1.1688537392581455,0.9992793202400208,-0.49963514211658167,0.019097768512141195,-1.174863937097078,0.9991022944450378,0.03819553702428239,-0.039250796561800624,-1.0313624476066714,-1.8459801603912316,0,0,-1.1718588381776116,-0.039250796561800624,-1.0313624476066714,-0.67412132221362,-0.8903134968562846,-1.8561764682356219,0.018378852176864635,-0.8903134968562846,0.03819553702428239,0.9996030468207139
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00002,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882107419,0.999594129048861,valid,-0.06644005791822168,-0.8951957572809666,-3.05608986922397,0.9997662305831909,-0.004849422713429318,-1.0999847320629343,-2.901885779581149,0.9996023774147034,0.04233492791392614,-1.104799158466935,-2.901794983885237,0.9996361136436462,0.08198231347667911,-1.1108500869780165,-2.9004014851572335,0.9995340704917908,-0.13267982217091293,-1.0887008561296756,-2.9109930182896107,0.9996274709701538,-0.1695449242754153,-1.0853296303865423,-2.9117150797719984,0.999667227268219,-0.19820408354678998,-1.0793185658999638,-2.911555418717562,0.9996135830879211,0.1444030221994026,-1.0560972079967348,-1.8683458706732985,0.9994957447052002,-0.22967001856910482,-1.01941779641254,-1.882231873367953,0.9996972680091858,0.02999255452798711,-0.7232598626001673,-2.6544783709115074,0.9998548626899719,-0.1251245135063463,-0.7153702700077622,-2.664511192831568,0.9998468160629272,0.49970646107609396,-0.017130462889432322,-1.1880448745813688,0.9992895722389221,-0.49970646107609396,0.017130462889432322,-1.2872454235361355,0.9990923404693604,0.034260925778864644,-0.04263349818485111,-1.0377575022046375,-1.8752888720206258,0,0,-1.2376451490587521,-0.04263349818485111,-1.0377575022046375,-0.6376437229618737,-0.8951957572809666,-1.818444720165218,0.019469528080392706,-0.8951957572809666,0.034260925778864644,0.999594129048861
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00003,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882107616,0.9995652253811176,valid,-0.059071252175258944,-0.8912042002290659,-3.0453367020997155,0.9997437596321106,0.0029975827493241907,-1.0960718534957028,-2.892434034792284,0.9995702505111694,0.048838952259892154,-1.1015596891222745,-2.8924445163898027,0.9996070861816406,0.08725380164589389,-1.108113873155275,-2.891530973233481,0.9994975328445435,-0.12652475092338256,-1.0823372613583149,-2.9086874986785767,0.9995957016944885,-0.16481361561763505,-1.078080807918718,-2.9096499559566547,0.9996364712715149,-0.19527570702715544,-1.0717803402021358,-2.9085732287134665,0.999578595161438,0.14873186496128743,-1.0539990293362933,-1.8526394197880585,0.9994601011276245,-0.22720347515643077,-1.0156503578797258,-1.9157653546506712,0.9996761083602905,0.03556380348042504,-0.719100479395753,-2.639056212317347,0.9998424649238586,-0.11926634740216198,-0.7098277594571843,-2.65788136698318,0.9998338222503662,0.4996321149261421,-0.019176801986523478,-1.1481049698387824,0.9992396831512451,-0.4996321149261421,0.019176801986523478,-1.2918881335007921,0.9990663528442383,0.038353603973046956,-0.03923580509757167,-1.0348246936080097,-1.8842023872193647,0,0,-1.2199965516697873,-0.03923580509757167,-1.0348246936080097,-0.6642058355495775,-0.8912042002290659,-1.8253401504299283,0.023478881203556456,-0.8912042002290659,0.038353603973046956,0.9995652253811176
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00004,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882107821,0.9996274342903724,valid,-0.05455673393708356,-0.8906617456242304,-2.9685667748207583,0.9997862577438354,0.005499510816855236,-1.097601646741326,-2.8186559071116974,0.9996402263641357,0.050407501849564294,-1.1043034324553356,-2.817756404596998,0.9996708631515503,0.08783853197242594,-1.1119826174378247,-2.8175145146773657,0.9995777606964111,-0.12506016332164,-1.0809347138085759,-2.823559507762137,0.9996625185012817,-0.16341754984010956,-1.0761419110408152,-2.8245766753733355,0.9996969103813171,-0.19414648676177568,-1.0692518406732614,-2.8244545004647756,0.999646008014679,0.14797267348014456,-1.057592644051267,-1.7952786946881154,0.9995530247688293,-0.22631005639746304,-1.0129833255718663,-1.801693287370426,0.999727189540863,0.03915019097963653,-0.7249372219234942,-2.570715254634051,0.9998717308044434,-0.11568067669644917,-0.7104681049003502,-2.5770306314510214,0.9998631477355957,0.4995369176135966,-0.021514365923885462,-1.1194943243996869,0.9993274211883545,-0.4995369176135966,0.021514365923885462,-1.1699885376356955,0.9991335868835449,0.043028731847770924,-0.03916869145865924,-1.0352879848115668,-1.7984859910292708,0,0,-1.144741431017691,-0.03916869145865924,-1.0352879848115668,-0.6537445600115797,-0.8906617456242304,-1.8238253438030672,0.02816152141452033,-0.8906617456242304,0.043028731847770924,0.9996274342903724
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00005,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882108019,0.9996132300450251,valid,-0.049576214163009634,-0.8911808146158294,-3.028343678060485,0.9997782111167908,0.008406681265425845,-1.0980321833310946,-2.8751917764129553,0.9996310472488403,0.052975011346484815,-1.1048190373708875,-2.8752376293481277,0.999661922454834,0.09012848806616508,-1.112748910073945,-2.8744831213653113,0.9995675683021545,-0.12297839831172491,-1.0815427862453697,-2.8866475745949773,0.9996529221534729,-0.16245622640962146,-1.076753013422618,-2.8871038319544193,0.9996868371963501,-0.19359687555148655,-1.0701047509121078,-2.8866632719962078,0.999636173248291,0.14911994152364308,-1.058729505183767,-1.824700411976142,0.9995449185371399,-0.2267695119736548,-1.0125212097636547,-1.864873986074618,0.9997223019599915,0.04341384818400117,-0.7245440191325165,-2.6186960337661804,0.9998663067817688,-0.11164146663507107,-0.7099220964313067,-2.6314687612935184,0.9998579621315002,0.49945433563524977,-0.023353085773644852,-1.1062919080047402,0.9992973208427429,-0.49945433563524977,0.023353085773644852,-1.2217348308193172,0.9990684986114502,0.046706171547289704,-0.03882478522500586,-1.0356253574737109,-1.84478719902538,0,0,-1.1640133694120287,-0.03882478522500586,-1.0356253574737109,-0.6807738296133512,-0.8911808146158294,-1.8643303086484564,0.028066023948269514,-0.8911808146158294,0.046706171547289704,0.9996132300450251
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00006,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882108219,0.9996239313712487,valid,-0.04682056549570258,-0.8933244555902673,-3.041680514916928,0.9997855424880981,0.01163283937521238,-1.0971195180664164,-2.883129603203613,0.9996446371078491,0.056111796125376395,-1.1029526840784138,-2.8830893298345255,0.9996731877326965,0.09278521916010112,-1.1103032931042582,-2.882469407617494,0.9995829463005066,-0.1183489456650102,-1.0837892383746988,-2.8994943579702794,0.9996677041053772,-0.15752476270706567,-1.0799973773892504,-2.8993599764224043,0.9996999502182007,-0.1893101083069346,-1.0739063385292669,-2.8994076469409165,0.9996518492698669,0.1512741714435273,-1.0552546317322529,-1.8308729744901195,0.9995568990707397,-0.22294484400106637,-1.0140344275180548,-1.8742254070258737,0.9997333884239197,0.0455866798764538,-0.7279215232699432,-2.6310462575001554,0.9998723864555359,-0.10976958792923935,-0.7163396420352093,-2.6528018903861574,0.999863862991333,0.4993651195250493,-0.025188834862557803,-1.105506036226223,0.9993072748184204,-0.4993651195250493,0.025188834862557803,-1.258185768798555,0.999071478843689,0.050377669725115606,-0.03583533627876953,-1.0346445296251539,-1.8525491907579967,0,0,-1.1818459025123889,-0.03583533627876953,-1.0346445296251539,-0.6707032882456079,-0.8933244555902673,-1.8598346124045393,0.022955306689163457,-0.8933244555902673,0.050377669725115606,0.9996239313712487
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00007,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882108417,0.9996405564821683,valid,-0.04395426552507631,-0.8987472079423587,-2.9726925111360627,0.9998030662536621,0.014214493066683381,-1.0997652140784135,-2.8146826556224864,0.9996669292449951,0.05758182786054199,-1.1049431277585873,-2.8137419254054956,0.9996920824050903,0.09308834219096904,-1.1121488627558263,-2.8136672577650716,0.9996049404144287,-0.11705727015972213,-1.088216448083764,-2.8273406668522814,0.9996940493583679,-0.15691840538229596,-1.08554359271364,-2.8272727685309067,0.999725878238678,-0.18949965079440756,-1.0800255720339527,-2.827350718265415,0.9996819496154785,0.14971646530634233,-1.0560297719198821,-1.780458296276983,0.9995675683021545,-0.2233055275618253,-1.017708861911934,-1.8081612216595784,0.9997523427009583,0.04790847093890524,-0.7311236885933087,-2.570731576766138,0.9998753666877747,-0.10867162233907939,-0.7218370033810105,-2.584072263565524,0.9998697638511658,0.49967631126206025,-0.017988439719461177,-1.09673358479867,0.9992982745170593,-0.49967631126206025,0.017988439719461177,-1.2162867336615493,0.9990950226783752,0.03597687943892235,-0.03679453112774149,-1.036869316915908,-1.7943097589682808,0,0,-1.1565101592301095,-0.03679453112774149,-1.036869316915908,-0.6377995997381714,-0.8987472079423587,-1.8161823519059532,0.01939953504494718,-0.8987472079423587,0.03597687943892235,0.9996405564821683
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00008,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882108615,0.9996390434411856,valid,-0.053000160833455025,-0.8948112092681751,-2.977026463681423,0.9998002052307129,0.0050720127672594295,-1.096497757762856,-2.8286503527912243,0.9996601939201355,0.05088856071210708,-1.1010834929934528,-2.8287391201733114,0.9996873736381531,0.08837815552441719,-1.1071254019032377,-2.8272912300862303,0.9996016621589661,-0.12345057770653649,-1.0854993973090354,-2.832203297939223,0.9996800422668457,-0.1619440211623545,-1.0820361399422471,-2.8324599870279763,0.9997124671936035,-0.19249472698621153,-1.0759963786304159,-2.83214561959418,0.999665379524231,0.14579694801435616,-1.0514560836130227,-1.8354883612341335,0.9995577931404114,-0.22676793592984118,-1.01497831423662,-1.8397939883316243,0.999732494354248,0.041104615767827764,-0.7256774392230598,-2.5934630147502666,0.9998723268508911,-0.11561399277343054,-0.7182995198529258,-2.5944394559532222,0.9998623728752136,0.49974318036553694,-0.01602353513237512,-1.1773925570842687,0.999345600605011,-0.49974318036553694,0.01602353513237512,-1.2620441188261444,0.9991296529769897,0.03204707026475024,-0.04048549395774251,-1.0332171989248213,-1.837641174782879,0,0,-1.2197183379552066,-0.04048549395774251,-1.0332171989248213,-0.6179228368276724,-0.8948112092681751,-1.7573081257262164,0.01904735305120564,-0.8948112092681751,0.03204707026475024,0.9996390434411856
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00009,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882108818,0.9995772059147174,valid,-0.052240459541474486,-0.8936691452247274,-3.0239563029928287,0.9997610449790955,0.00760946509976746,-1.095850156282975,-2.874900427668295,0.9995956420898438,0.05241461848152504,-1.1009610040484112,-2.8752966904801274,0.9996298551559448,0.08924554623054458,-1.1072113635139549,-2.874630378864781,0.9995229244232178,-0.12177485060675086,-1.0819693814216402,-2.87586362905321,0.9996203184127808,-0.16048976830137607,-1.0771513255683594,-2.8766098488881084,0.9996595978736877,-0.19188919094239557,-1.0701511606426806,-2.8765311700257796,0.9996036887168884,0.14684082972317916,-1.0519036064756666,-1.855135907096686,0.9994796514511108,-0.22569446567056045,-1.0103053338588515,-1.8487928336071744,0.9996927976608276,0.041877490376290176,-0.7245309000765294,-2.6247233641072576,0.9998472332954407,-0.11396955914586186,-0.7155098767676522,-2.6261340515216673,0.9998394250869751,0.4994383072134966,-0.02369340177595933,-1.1789343177770546,0.9992380738258362,-0.4994383072134966,0.02369340177595933,-1.2014259204202298,0.9990134239196777,0.04738680355191866,-0.039426817973690645,-1.031104470167259,-1.8519643703519302,0,0,-1.1901801190986423,-0.039426817973690645,-1.031104470167259,-0.6617842512532879,-0.8936691452247274,-1.8337761838941864,0.023809678480051888,-0.8936691452247274,0.04738680355191866,0.9995772059147174
rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e_sample_00010,rec_1779882107203_bb9d5a18-40a2-4714-bc41-19a05743f36e,P002,S001,front,good_posture,1779882109005,0.9995556794680082,valid,-0.045689908302921155,-0.8852016394560557,-2.947371095119356,0.9997419714927673,0.013655379921256771,-1.0876706589410603,-2.7958557581207035,0.9995719790458679,0.0565807052483365,-1.0935435021092357,-2.795635247276967,0.9996063709259033,0.0927573945720103,-1.100452192916506,-2.7937811937423165,0.999496579170227,-0.11665546219768178,-1.0738799189712087,-2.8066593549136933,0.9995966553688049,-0.15618735926638713,-1.0695695057961996,-2.8064769621154357,0.9996359944343567,-0.18933048747072123,-1.0628446423372857,-2.8066331231404607,0.9995800256729126,0.14974622932341486,-1.0459012735899058,-1.798118991753903,0.999447762966156,-0.22313965679228914,-1.0043978948141883,-1.8089898074658015,0.9996741414070129,0.04487610852552558,-0.7178464101394839,-2.555257934031345,0.9998382329940796,-0.10771893235809474,-0.7061611798430049,-2.562440726375323,0.9998307824134827,0.49940162594864407,-0.024454365660358034,-1.107799343714645,0.9992170929908752,-0.49940162594864407,0.024454365660358034,-1.2200618036387805,0.9989862442016602,0.04890873132071607,-0.03669671373443714,-1.025149584202047,-1.8035543996098524,0,0,-1.1639305736767127,-0.03669671373443714,-1.025149584202047,-0.6396238259331397,-0.8852016394560557,-1.7834405214426432,0.023973996313036094,-0.8852016394560557,0.04890873132071607,0.9995556794680082
